Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
20160701,The BFG,140000000.00,55483770.00,154110769.00
20160226,Gods of Egypt,140000000.00,31153464.00,133553464.00
20020503,Spider-Man,139000000.00,403706375.00,821706375.00
20090306,Watchmen,138000000.00,107509799.00,184068357.00
20050729,Stealth,138000000.00,32116746.00,76416746.00
20080613,The Incredible Hulk,137500000.00,134806913.00,265573859.00
20030620,Hulk,137000000.00,132177234.00,245075434.00
20010711,Final Fantasy: The Spirits Within,137000000.00,32131830.00,85131830.00
20121116,"The Twilight Saga: Breaking Dawn, Part 2",136200000.00,292324737.00,829724737.00
20131001,The Croods,135000000.00,187168425.00,573068425.00
20160108,The Revenant,135000000.00,183637894.00,532950503.00
19991119,The World is Not Enough,135000000.00,126930660.00,361730660.00
20110304,Rango,135000000.00,123257581.00,245504574.00
20031114,Master and Commander: The Far Side of the World,135000000.00,93926386.00,212912137.00
20130717,Turbo,135000000.00,83028130.00,286896578.00
20160603,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000.00,82051601.00,245623848.00
20111118,Happy Feet Two,135000000.00,64006466.00,157956466.00
20060728,Miami Vice,135000000.00,63478838.00,163818556.00
20050629,War of the Worlds,132000000.00,234280354.00,606836535.00
20141126,Penguins of Madagascar,132000000.00,83350911.00,367650911.00
20131122,The Hunger Games: Catching Fire,130000000.00,424668047.00,864868047.00
20040604,Harry Potter and the Prisoner of Azkaban,130000000.00,249538952.00,796688549.00
20070803,The Bourne Ultimatum,130000000.00,227471070.00,442161562.00
20080606,Kung Fu Panda,130000000.00,215434591.00,631910531.00
20150717,Ant-Man,130000000.00,180202163.00,519338048.00
20150327,Home,130000000.00,177397510.00,386069390.00
